"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,3,2,85,1,100,2,23,20000,"2","0020000"
2018,201801,1,2,50,1,100,10,101,108000,"2","0108000"
2018,201801,2,1,17,1,100,5,50,0,"1","0000000"
2018,201801,1,1,71,2,200,1,17,43100,"1","0043100"
2018,201801,1,2,44,1,100,11,114,51000,"2","0051000"
2018,201801,2,1,49,1,100,7,71,110000,"1","0110000"
2018,201801,3,2,12,1,100,2,22,9999999,"2","BBBBBBB"
2018,201801,4,1,8,1,100,1,15,9999999,"1","BBBBBBB"
2018,201801,1,2,56,1,100,8,81,22000,"2","0022000"
2018,201801,2,1,73,1,100,7,71,41750,"1","0041750"
2018,201801,1,1,53,1,100,6,63,44000,"1","0044000"
2018,201801,2,2,44,1,100,7,71,30000,"2","0030000"
2018,201801,1,2,59,2,200,6,63,22000,"2","0022000"
2018,201801,1,1,71,1,100,6,65,31800,"1","0031800"
2018,201801,1,2,93,2,200,2,26,13200,"2","0013200"
2018,201801,2,2,63,2,200,7,71,0,"2","0000000"
2018,201801,3,2,55,2,200,7,71,7900,"2","0007900"
2018,201801,1,1,55,2,200,7,71,20000,"1","0020000"
2018,201801,2,2,22,2,200,7,71,2100,"2","0002100"
2018,201801,3,1,18,2,200,6,63,0,"1","0000000"
2018,201801,4,1,61,2,200,6,63,20000,"1","0020000"
2018,201801,1,1,65,1,100,5,50,22800,"1","0022800"
2018,201801,1,1,48,1,100,10,101,130000,"1","0130000"
2018,201801,2,2,47,1,100,11,114,52000,"2","0052000"
2018,201801,3,2,19,1,100,6,65,0,"2","0000000"
2018,201801,4,2,16,1,100,4,40,0,"2","0000000"
2018,201801,1,2,51,2,200,7,71,22000,"2","0022000"
2018,201801,2,1,17,2,200,5,50,0,"1","0000000"
2018,201801,3,1,13,2,200,2,23,9999999,"1","BBBBBBB"
2018,201801,4,1,10,2,200,1,16,9999999,"1","BBBBBBB"
2018,201801,5,1,1,2,200,0,1,9999999,"1","BBBBBBB"
2018,201801,1,1,25,1,100,6,63,46000,"1","0046000"
2018,201801,2,2,26,1,100,6,65,20000,"2","0020000"
2018,201801,1,2,52,1,100,10,101,0,"2","0000000"
2018,201801,2,1,54,1,100,10,101,182000,"1","0182000"
2018,201801,1,1,59,1,100,10,101,72000,"1","0072000"
2018,201801,2,2,55,1,100,6,65,67000,"2","0067000"
2018,201801,1,1,62,1,100,4,40,58000,"1","0058000"
2018,201801,2,2,65,1,100,8,81,28100,"2","0028100"
2018,201801,1,2,56,1,100,6,63,11900,"2","0011900"
2018,201801,1,2,39,1,100,10,101,40000,"2","0040000"
2018,201801,2,1,43,1,100,10,101,50050,"1","0050050"
2018,201801,3,2,8,1,100,1,15,9999999,"2","BBBBBBB"
2018,201801,4,2,4,1,100,1,11,9999999,"2","BBBBBBB"
2018,201801,1,2,59,1,100,6,65,17000,"2","0017000"
2018,201801,2,1,58,1,100,6,63,52000,"1","0052000"
